DIM_BD 50000
UV58bP TVMgXuNTya KDMVUzNuapJUsB  1 bgcdUHNN nKUptLs 
RX89Ny JnELWTM QomiCtAtChzwab ehTx cTaDKxZSTnYIMQ  3 euvEQOm AzmBg 
oJ80QE jdDhqjzDdeQO OKEs HLzoXXKh tTCWzPgiK nmFUqBVQOMSgMI  0 lLeVfHe PFLsi 
Es88EI GjSWy ZtyeKdZ  2 nFCYfyGcR UKZuC 
xH16HM TAgEsqSaTjGP PfeFuUIXWfXQXu QTqLho zqDmWIKwnK  4 QvpdfC OSJZskOKSg 
Pu67RZ wTfIAanajjOKQu KrCBM shhUvjH hNJdinyJkoMSW jDvHafHh  4 tUMqKGueNl gRqJH 
FQ73dx pUG nFCWqXQexDas VkBQoSqqe  2 iPGID ncukVT 
Aj25EE EXHMwGWIu wYDGQvC  0 cpDiTu pVSGNnZZ 
zn37oS kBKrkUFJLLt wXBgvOBoKSrMG RSZn nxph LRizKmsLIY  5 DRpDJzs BpWUyilEp 
ev32yz UGWM AYiibEOlwj rLOhQNBUS cYWyQxBWCbha  3 ZJxxMGIfh ovsMh 
fi44ru YhZCLvL pBZfsmUSjVBft nkVmXmBylqG ilEkEseNav fYKyxXeClzQnJ  4 lTmvNHqCJ EtiTAGX 
fV88da ofskTzN ciNlcQMlbuoSSu  3 zLPvQolYG LlXooUelig 
nb75Zq mEvlRmFFOssh xyQAvE JXZKSyNOKCUHD UKuOqKmeqRTjaj  2 gAhkkZRjwn OXtKwMVDm 
LJ39iS JqExZzfbVC aRHn rouxtneRGxWkot  1 ZOYTNUOD UQSfZ 
Mq73vL MmlXr eMwkqRTehfQu BLcpo nLznrVJ  5 njMDIZjma Peypeqz 
AP17DV fBRNeK rrTbKUQ MygRiv KITEad eVXC  0 oiKZS sUFwGt 
jP42FL ZsvWGJyLHkm xnhVv eoVp FpkZA YtgxSWyFRcsVFf  2 KAtvVybmkv WCbFPEizOF 
xd63lC BJFYmpboDfyS uAuGcuyYDLyq eMNapgVwiZ TUeSPPcrELv  1 JOAYcCCWm uIfNtTTj 
eH96Cz dIoRUJoeTP UYTaDWq yOyD ByitBNa oNQS  2 ZuaTwC KfcVomC 
FQ56Qb Pol wexxOzaBJja qXVbDWTByt xQNDnJkftW  1 BYWfEdG izROyMSKip 
Ar30dr rISarYatn cicrpc JhxdQUyRNCbz  4 CGATCwCDI qJzTrJmUZ 
tJ96RU CIwJLRxrYgH TwTXLkXCi jTyQbcSoUEHINN  3 tfbkRN QURvlsd 
UN54lL qTLyLh DbJHSkEbZT nYSWvaJOPIA  5 YNrVAf CvyEv 
Nc45RR YFNgtzmOGgNL SJugLnzhxi Zyd  3 lxyoKI nrnDxPg 
Pb34Lp AYCPerPKUybXz WZZXvKRCSk ivacShgBOKwwS  0 rlpLST uWwmCzaJ 
WT45oH IlVJRBFgsSyDEV hKQ yLXpxA RhrYdFmAaY  3 fbkxkXOKPv yguOSJf 
oI98nP jAbWK kXcATjtBgSiLs  5 dqzUShC poJCX 
Kg10wE BIb ziNwHr  1 ytgGhwi NfFIgY 
qH61lf UtqKnwnToW wFKFMMyVZozMpK dyClp  0 BgcoN wMUFqS 
fK22cS FNxpTSY kxhhPzsHs jAdYRmDoxuLW nHfQb  0 OIHnpFSPAC RMzeWGGF 
Nm58TH TItAYOaUlJoOMa NWnG nDx fCZEiKdoY  5 OkZbOa ZYPWC 
CG91lm MtA KKYInpHDTRYRmY  2 hmKIRa pcjoWao 
uX73st ZfLgNbi zdxPLtG rSFJZxmVaBtJD  4 unOwSzIl hPDpsrPU 
ow37pQ kiITLre spVDsTPfhlX AQXyFXZpM  5 fJlTXWz UbaJILz 
gn67Mr jQJx HCUSDtJaDBaWdD uxASICbJB CguFtvLE CtsJg  1 gzQTr BjsznkoY 
nS25mw jQbthuwsWUj acrCxuQt mwaXenxvJz MXsgdM Rddqq  4 eObgFcuA hyoVukaVB 
dw30oY XWiuNQxhu KyVTQ OVoVmxRu QPAQV  4 okfnav TqQGrb 
wS48lN jSI JqCyIEzFFTjU ZeU IgwYRG  1 jgfXeecXAk KdVNIuofS 
gv20nf ecfFN gkNDVGtQQkkY UqegWoAAWqkvk NecrrjTcdRVFED RNXkMJdq  3 VEQctaMy ffBbkUc 
yp90On ofo OYsuZKMdLwznJr yXBiumPpHo  1 FHsjPYNDN LVWhZ 
tR22yk CsvnDOVn nLmrriOjPkPtrw aybhBmM  5 gVAvXVr MJrTZlnKPh 
Dj56mg sLdeqzMROTOLlJ wtUueHAenha LQBgYM NiJeIjcGtk  2 ygfHLEfLrm yxAHE 
zV13PS dwRudetiMVA hnC XBuyFEisLNW OZk  1 fVqdhryUB jawepESf 
cm27Up eOrFfbgZWJkE QCT  5 Luogxyrn CGUjfEAy 
St43nm cwKuiyMp OUCnuaOwtY  4 VgAKe tzGxvQK 
hw39Jd iuanjrDeU mKYMPIp  1 xiPDDOXWqg hGNeiDI 
Oo48iR mVTV oAqIlrPmxNDmmz  4 SmaNV zspoEwmXH 
Av38qG lJUKnPRrnBZhUh ZQeoiZ fQadINdgiMJcZS  3 yOjFX HTiUrDYoka 
Cv72MZ DwHkr JRpZxfnZbh Jqa  1 bgYuZA RkciqF 
lf62DV ddtIdOGqHKofT iOMqIRZyU  3 rOezUDha KvwqGWQak 
xM23hF PofzCpMeHaZTa kDTqpLZYNlP tXPEHPBPD  2 fRnyvaf wtVDpRZbz 
IR27KE TpOagXOdCTFoE YoUyF QDizhvf haWwJmdsm BClSlpwUQBdh  2 fmaRuDidX yliesC 
WB59Dt mlYQ VBHUD ccsGs  0 SxDpF rHpZIOSi 
PT37ES dBcqVXvqdu MYdKoe eRVwPJ wyqiYZwhouyf  5 xaDPSxsdE mmburXP 
CS24tU lFdxZMeasfM HsKsuqwHS VLIcDzHINkRglg PchafgxuqxeOsg VEpL  1 kRYUOm zBpqMoqWl 
hy68IQ teT IERFbL  3 RBJhRR sPFTOp 
Jq69Rr OJyOeGYqeAr zHx YQnBoQLqpySnWW  1 jlPRkA cimXGt 
YM41Mg iiqKCNjAwEc nFVAvIaLxgffHj ryTJfbnXOrld  3 Ypdrdxie QxOdEXcmj 
Rv74sE CzmXLsg dYqKnqI cPcTpYBczv  2 SfNqpBix ltMZmB 
Fz99IH ImgGUjVAZ XFoOteeKAem ktXcAKlyKiNp rGAno OmTU  2 yiTCbPuu pQfzBBPOY 
xR96cH NQY sSEUYQZhbEjXKd ADWWnG  0 ydpkZaEvZB GwcCiC 
Re62lF Rdn IlnkHJw Qbho  5 ClCNxrMaPl FKMlzLBxW 
oS56Zw BNPRlJauGfAlhX yzyEli  1 OTkLyLwxi RdrbOeJBk 
GE22lm TMzKWNbOP Woy FvgkkzSx gDsMSH  5 gtaZXdSWc aaOpRPNb 
CN70yO tMBLiUtMc NHtUlLdAsCz  0 ydDhLfvrF HeivDCB 
eA91Yc HGA EzBSLkeN sPTabub  5 JOEddKtRW yxQSt 
KR41bX QbQohPPLlaSqM WudblSUnS emNnXyPZ ulqZEC lCydV  2 UiyWIYE mnrwPICQy 
zi86xL ZOreNSeLHEaLe BXEZx  4 qrUcMM WmYSXOba 
qK28KF sXTi fmbEN ORMYQ AwpHzBSdtbVn thalUVlKW  4 nuWUJNyJ fajOYWdQD 
lT80Pi SCsjfwpMb qyCwwBb MBNEG cNaIVEFBJ ltbE  2 kOzptxEf vGJNwF 
xS42HV PYhyTjvgbBqjBb dgrhg OSaO  0 FeBmWQGZj ucFxg 
DA49MT JFrIwBkoDSaCw IyANVSH SxOA ihVk hQtswY  3 dIZdjv DxJVS 
qZ32QK xAgRxLqLWxzkM GfQOVp MFPjJXzraio  5 VwXeBxQa BeLxU 
yv60ie ylYoaaF TybkiovKItsB  4 eWwcpu fFAqxzSMPc 
gp26WT axjcUOICxweEM pwvjC QMPkNRkXli RuwjimyOjWkaQn  0 FSmDlsyb PqIdDwy 
Ol12dX bEuPkq yLP VOlMRZRA dadSeMRZRijpo  5 FXaIq HoiyCLp 
wP95lP rDUvISkNDhpD IXjhI aUDpFnB UUuzhJRbME WWLVJJue  0 JfwIH TJBncMzOq 
YS49PT DuGPGIYRBese jVGnkc aRESDwKMgipqB CBx  5 UMXIKlBHk yadmqZnWDu 
bO16GK QODZvgQiXSoLbb MadTTbwRFPHo fQlL HWvuQHytPSO  1 qvGwUaWGqE dWgef 
hC94rT qobtYmDvRnRFtJ qPiU swPACJTAnh XlXGrBTgr  0 qmuwK yagEIjpTa 
IV59ZZ AbwTZ WhHZS hvOgvrAy TYSFHRyWpSGEh  2 tEtJhLVnK TpWvXm 
gj73tt alwpjXuxm fdvNMRptH  5 OMNMEQOQAS sgTWojMq 
ww45Sc rerEOBhcs CfAqxkFWGhSpLm ElIUxzJCUeImNn  3 UFIeF pZJFxoE 
jo65df RDxtKhhhhdqbf LUpbcSFzawy fCM  4 lAkdoLfb gXUuVoC 
Bk36If giNmdOpJPUZDWC IFzpKtuTesKBLf omSnoq jCHuOTtdhI  4 GSqqt IKYRWaQS 
eA25Dh ZfzOdIejr yEZRWDRg UovutHyNfxpr  0 dXFgNx sEScxGJKZM 
em17Zn BaCA liQARWI xsiyjWNSrU  1 qguZW aFuuTKi 
sF25jh RFFdjyYVpQ kQTl qMfpp AxWsAocuPgJ SlfPMhjxOdSNI  2 mPWbvSx TXbOdU 
Km55Jk qyQgvDAey tANAu JbDFsB brsHScZhdG  5 EkJMYGnp qPALdLq 
rX27un fYuaNE AqMXgHuBW qffadyNyWtuCYI LROltHJPMFKt EZFumFSLTObDX  3 mBTSQTyRyg kEiFzAnCZ 
Vs67jN RGBkBPRYYxd uGppLYqCLnV CukBQYBOeDAN OjfDnHTacB zUZL  4 vAQUBgFEFC uotTbfaVy 
PY46Fp lYerMP NXBqwkjwnZs  0 IGUuVEXrj vJeGqpOeVz 
fH17Wm YBffBelXGJ wPtKcg klFKPGKei DVAktp McuKW  1 FyJJwWDCbN PfGywitB 
Ua82cb SgHH juQbZYmE  1 MyVqwl XBmhbKsV 
Do51aA gMLq bYN kxOnOeuSLsXAP  5 hoXAETFyIn axXUy 
jj86qh xHFknaeU LZbeqshMdbSW UzxhoSEKU qdgTBqla XAaOqaCUSaiksB  0 iYQtNF QURKeg 
TR73jw rwXqqSjJ uIbcD xDi  0 uYKpaKgSPk mqjjxX 
bt54ET bDmAuy rlPrHLtbxvg XPNZFuK  3 pWHuelaC yGePV 
cw46sO XiJ hkbuP AiUwJzuXKdWrm hLCexrSilUoSh  4 CGMUpHxLjV plfKtgkOW 
JA62Fc vfVhAgLsCvd GWm dAIx  1 bNcVC rDCXhq 
ZF58mg uVMgQnvIWkf GgsnkAKgMPIxTQ bkh  3 MiIgIgNefI JcLbbV 
aZ86UR voVAPOGbIvk JAEvXldilnjBmy AAsauvvAcM rtd djpueQSQC  3 nsJTA AkLve 
sf77Yy nxzwhTuuGaF IEP fkbstfQd  0 zngJqwd YWyrIBYARH 
CW72jL xufMtngAVqkP cZBuGqpH  2 ybLpWNiYl XqMwsNN 
MU93MO pXBbZJUx pxvZovo ceuQEXIvPEM LHapOKfdMRNRl udUgyoaHkgbu  3 InBpf isxmgCl 
ry26Np KyrWTDyUgKS lko sjdcoFrIsLEVT  2 cRRpujS Fkxqtx 
Ir33cc qElSeLtrkjS KkKGOiZlZ FGtklsraBdqQoU pwFozZzaDv  1 fdMSuG PdhPe 
zP17oL RfzznAKJjN HIAcDgsm  3 qHkOFLuvS xCsQDzdAx 
xQ71RF qZl zZygwsyYHbhww ANExsvecvE GYCrEoQ TtEyuj  3 xzOxtGn TtgzbmwdlE 
dP92id niEYzquyKoHN Auow ZQlZvWv ATFqUrBD MNnRdHwPP  0 kRdPA MuJqlBU 
mt23lE iaFZoAAkwfV gssRYkCJHNn PyhwBuUp  1 tJuTh wuFwTNd 
QJ12jU foMkgfxbBErOC ZmWXJ vOjPSuH GnSCpT  3 NxVNbhqdss lftcdKv 
rb61hd FojCmFiH RqcQUrNkhVATYr xzvJCHkhxJzuRg tMDeXFEpg  2 fNYkPPU qAAiQ 
TD88NI PshrTCayEFeVRM bkKWFaIS ouDEfc AuBMWdtKJgG  1 OcykVqYsRM CWQnNLs 
cf90IA VpZaJPX oisHNYIyV YPcRSxAwKW LsoqCewB nrO  5 qJCCaJhU AYOzjglHW 
OJ48Zx XDymZSCUlrl XWAoTdMhhiHoFT SSwSVu  2 VJhgMOKDJx FJvxeMiKW 
ou61sa gpKKbHQBp gtHbvTsHqA  4 fcErs LdNlb 
rZ92NR UNVGRjrHyMTCGX uwnqsj dIoKVFflplad vjjQKMT  5 uZZIzN IXhxPiBD 
RD83pB wQimNmPPffdn jcYEHB gxbnzxD WbAZ  4 CYZEnoqIK kVLgwnDX 
qO73KR LLGJEbXdgITKn cpnLkBMLAjAMS  2 ZlwDKMot sReNKrcQ 
oa26jf EHxKEhRLsntHx QmTFQzlVbStYxi pEDUfipGx  1 FysRXCB dwpzOtHY 
oz53xO YUgmSytXQgfL yOVN ywrbgloo KTZuFubuHTDrfU bhlotGjpsKtnS  1 NtFvY VEFTffLq 
JO66IM vUHafzLYhFFVZU gmvlhpxU hNkSPUdtn  1 cJSHvqUnHm MrpdJE 
Ml62sD gIbhsVZFrGK vjbFiQBRHxO  5 VheInZ soMJWzHhSn 
JB65Ve KXA UDjgvyIR wdf iJUBJBy wqcyIxPbW  1 BjczWGQw EZoNeoO 
Er25vl IhgAYkjZM fzIoyU XvseUkhAHuJinu  2 FpZwl bTbZLFmE 
JQ12fw wcaBa cNiCcgTbGgCl AdhwgnszXWPH OnyrR uPkgAt  2 WJGeJhQJ hXgcbs 
gN79Nb AKmZmV hNHCnEHpkL ExGLmEJibeUAuj LeDnlNJcrbezE  1 ZlBfIyK foyvTl 
Qp59MV FyCTbbu ifXBYZVtAMCB CZwkCjIiAEYYnk fdYOF XZbvpC  1 uncQVMCfd xcnQY 
ZO68iU cdM CojE  4 CTyPJ fwXLt 
jk36KW ccDgYejJY PGicXEI  2 nqGDat qLRwjFNTCu 
hW78DX GeZxduwOVmxR bSE dxnWsBs yrjiyhD  4 toGavD FEPzVtKBy 
lv28qe iIzrorLr AbGMNCztxWr pQI nTJwrF dXnVjHeSsjLgMv  0 OtsawBZUUP xcjkCG 
yz62Tp iJrT lSVrmmiYk dWZkQOrRIvdfF pvaihEL Bghu  0 sjyaw IhJxu 
zA13Cb mQDTol LLNHWtwUlxcI lTHCfwQ hOMVimns  0 SlBLfANhl QrWMSSk 
aJ42EG fJAbqEArgvYLgR DtBOr fyYrZJkL Hpf qpt  4 wngWfCG aLrlwJFm 
ql79BJ nzsTdExJfo EQCqLHsJZmtbZU AuryiwfPU  5 rdxZr pcemMGvr 
OU68gb mKWn zFLa BmTcZLTpUar piLILxniciLvg MwIy  2 kwDAw kPgYjbdnG 
cS36uK qIsu wDcRoCZ mIdU UzD  1 qeizbo RAYkTTY 
Xj87UJ qSKnVynEBOPtRI PKmi aIdkJ suu  1 atgUyWcNfC XgTHp 
Gp52de IvZeflzbxvI PNDLAySHCY GLoQxdKHyriJ CKE aPnn  2 Uvubhl UHbUtCjizo 
mt26Kw cOFDUQEc vKzRL ZXGtCmXg PGw GfEIEQEkU  4 gyTraJvVA kGXErpABP 
QJ78oR bRAala LSJyKgCZj jIS lDk sJVa  2 pzjuyvEC zOEkVQlho 
pC69aM GQzzAUvB mkqT ktEl aJVrZVPVxU JHe  1 vryEX lJIif 
bp15dx yGpg tssqQcB BdnbhHrfIJLbE jdleldBbRqsDdP mMFGvZbsczu  5 wwSVyiCbt PJAoEr 
YZ64Qv XrJnPDIRyZ nruV CNmIEf  2 eoJXozh lPXXOZbId 
CP98go OWsrqbQVn IYSFgxL uIgSBt lltau ktzuQUAfqoC  4 wRAfrVsx rBjJLZ 
IV59IO XtFEIsOHvCgZd xGVByfxCCoulB  0 glzJZbOsF SAadnCbJq 
Kx81rV QVQDZWfDzGErS sAyzFCsorpw phRYrIEtCc  1 kkziDQX qLszqtGzT 
MG87RI PQIsYFpWFD ZXWX  3 fOBhbh OzkxK 
lS18kP OVZucOAf DGANW FRoAxCIuJGfCLv  0 QtUoYU WsYcRKzs 
aO62ft LVYugc JaJndGkJs qUuWF sEJWrk mhJZJOXEfQ  2 PwVLe CBQUx 
hJ42Tj GnIuOLT CLRlUiT SqcsN szxMm  5 nayFAb IBneMqcntA 
CC89Mn HELyhnFrAq gXNhY  4 FTOPO qdVxe 
dO61mH suuRhvpZK vusKuqOulvlZS  2 EYFnZkRC LcbCQPq 
kf56vO FQd FmaeqbN  0 HaCmILx GnGnIiIT 
HA45jd MKAHAVVoUSu qdAQdUGCX gWDRvSfKD OUYe  5 LYkUOKONr tMONSMKeHX 
Tn12cm fzOWrxWY aqAbFsVb IGLnSesmOQ mxRQ SlbfTehVsqzq  0 CHRyrJ dPLPwUp 
Vp45yc rFwPpBUiG bNiyLKtizs  0 UQIPtQjzyq mEvZXWzok 
KS28az uhYmRLdqu KWLXq LdLhDxF WpoxKP NBxsoRIO  3 pGiojPRiav JhIOELjk 
ya23Ng jpXgaWlcqb NjV zDuxf  5 wnCBWhYGrE pEBgRPhfV 
Za10Rv HLUBb blCKikQLqMI AmjmFwfne ihijtdpqwfKD  2 lNOidfaT zDPNhi 
am44nL nGt Mbz glp WCIZxlNAey  3 zYTCml MgqLLENo 
WD32iC PnxXA JsboJRKjh QfzvYwxyNNne  1 VKpTmyIvl DBWHgAkXhk 
Us78vt myXdVZIFVBf ycdwGhkGJuHTi seIGTNlcMkMzr UcwGDuiAgLxnq sZufyyX  3 hwrlhe XZsTfcG 
xZ70lF BLAXMsVeKN NDe uIvwt  1 JqGzV JIDJrJxJ 
iH61ae pRlCMpMqLiql KIXbNUiqnjZxYn fQKWsHO  3 NsjWWfw pyswjmKo 
Sw91iW hRKrJekPRE yhHu JZXeGLlteRgWHu mAtn jJKjcPOc  5 hvWMbSuLT JijrkH 
iW45dt YTNPzDS RMFK ZkKfkBgwHo eOCt  3 RZxKdOtT bUFYbJy 
EP77Kg HNwjDSm cSJlYabk ZwAxuBqZjQn XQVrZTGiWm DMvhBaYbGU  3 brLoifAY lhvWU 
PN25JY LYMKsvsr mMKzvB  2 WQFpS BhbveOrX 
en63hg iSquyVQVdBNIg FUnRnDsv UEWlPR XhVhfWAPinLXY  4 UKmiLL QioyDquDkU 
aO86VU JAOS byr  3 qYpYryj UZTlmKoG 
jG59km WvsZAcuaXdLB EML TyiAAkQJIDhW KtqJlDZmvSVB TtLinWqVLpjZV  2 vuxPOzKgYl FjMnjLBOzV 
Py36tf SsCyJo yEAsrlBC bYmqoAkwgQ DDasdRNU nmTGGW  5 CXTvYXqHH AYexXAt 
Jy41HZ cnV ekIwjAUeQ icLgfMTYA ptZPiTkZk  5 DAMLbpnjMy MIUqpI 
BF52Le kwXvNC guxYXHLGNmqu cIMKmVOzUNysI  2 bUabLPW uqmjAhWHbd 
sa84Pc qGuJw QNiG sMcT LSAuffvjMX  5 NyzzLO cwlMsVY 
Pw20Rs nkLcmkVoFhCKM ynsUd mOeGHXOppbW njrreXBxneHrX PHwbOxvNo  1 qqTwEYeq JRJLzem 
cJ61lK ChVBO GCVy bkXmH qeREbyivqg  3 SlIdKkcD iETamNHQIw 
PU75Ud YnwGirnA AivDnJNrhLI  4 drWEGpiGbI YWohSENCvJ 
nF14Uz tOhdf FGHmbxySu  3 cqZhjc ZBSiOjDv 
su18RR jGrvtO XZJcZARAgPnlh wgRjehzNT scHy ZWmPaMKuQETmZ  2 tsgrleHEe JXPLDuHuiG 
MY91jx EJYjouEjdBQvcS PwlWPXlJtglmDi  1 PPSlhMY WrZHmB 
fW74yN BgAK axZhAAkMcRir fcQqiPhJNS UnIqUthOsVVr  1 JcjKLJi auImRXkk 
um71NR aGaxzNCosiRPOz jhZEOUPjA NjY BdiTWKaAOIs plZDhm  2 LgsRIQBaB nUFSRTAq 
PQ46YM Rligrag IjekoxUOhx WDfJT aUSOvmMNuwY oqOOhADqNGl  1 WInSVP UXFCJSJYp 
kN32aA IDL hnzcfKbA YEXiSwOj  4 NggIkAkuN EBzpioE 
Oi35nB ewHNL JSQpJWckFpBcY cKJIXXNoHBP  0 OXQngXHCvK HcTMa 
OV20Hs iKJCU ODkMJqNc  5 rvmTwzZkul DYlSNLYk 
Wg58wo HNxtgLHaSfB TbKsrHtXY iHWFgHJ FVHOrAUGznzx  2 nCxEq bimqjIvqW 
KT71tc bKUayRJbWhEHyD GcYGuyhoON gExXafJgxHslM  0 PDqmqlP PbUSg 
Bp76ih qbvMvb QPOIVWExnk  2 PKjXYgaNin rDTnUeUXzo 
pl27dv putLZzIn XMU gUCFV CDC MxZTSBVxnzccT  1 DKiSaagE gSNZmT 
DL49VX hkTrVom GFNG PkAcJJVUHuDe  5 zCjISA RLBGr 
ZO24QR KfrvcWFO mWadOGPPxL gHkyD pyvWA  0 KDUWZK bPgspSHF 
hb41rD tZCqMYRni mNgeqlhI OTzPTouO BlHiy  0 DTyFb rsCvCzVl 
Bl73wG ZMF mEpH  5 csFLYSR UTqZjNLeZ 
SY99qB lxQTewc fnsubGDwPfVOhW eCAnUjdBqUHf vizXbO  2 khUJQb lytHTBEC 
qa56LD AeAP agtXGF mnBvCMnleUJt  4 gNqNi RiJKO 
Wt11Nn hfJoBHSo JkS kETDJHT gqZzh SzOEnon  5 chVcXLd ACBVaj 
KQ75yi vjcgNhaKdBGVD lwu  4 fnfgYlq VdQZMJTEZn 
dv68BZ STFqIPfKSRXG uMwRVFwnLav aAMQfIZS woODkyAUXopI  3 PhIgXp yoRzCaA 
XO16zR TWWIUIwFnLlN PMLDyvXBsRW siGUUAsHVLfM  1 UlKGVtKzb Vbritm 
Gp12Qp PBUXfAcYCaMp xNWESVCcKG rqEdSKrHEJanMK hWLAsBqxnOj  2 OCWHbIDBd RsujK 
yK89gD HqQ PDOkNWVQGB  0 HLZTzSxlj IKfhUfbZ 
nd76mN WZTkJ ZUc OTDee  5 rqQjrYlFj RirAXOJu 
cT79Wa tLlopb HSh  3 yGcMXbf TyNgmnqSU 
Ir40vm yrybWzfg jhetYkHY NQsXUypVH hIobHo  2 HisNjSwTGN WBoLygVwUm 
nm18Fe MwkELflehklWf oqFhK Bqy ZJnxVyrEsv qHnjbYIM  2 AEuEUqWlAH QKGIlNfP 
DJ41CH gVE gBbApYemXpf XTgpGlIIlR QCSyGSvP wNAjT  2 KKAJoG Fvtwn 
SJ40PD SWkHbwv NYXDnSkUdlC DZPdsCAL FPERTGVp  2 tUVOdBjEA otluDj 
We59wD dSXAdwxfuV RJrgBS SKlaXACuIu PzvNw cpKSqREj  2 qXGVlmzw uqRtTa 
sf76aA zbugTUuCQMGE qYdNzb  5 ATKbtKaGF wxmGfsux 
EJ82jE dvvwmkOLxctL ijB  0 bVagGEEHv aezNQH 
lA53zj BPumefocPdi CwwlLWgpkA aMJdQ  2 MforfE YzBsczwtQe 
EL23MH wOKkqDUAInA bufJqJ abXQ  1 ICgkFr uyGeg 
UR25Fx IkSTW nEbTyuUSg  3 kggnH XYPVL 
yc87lG SpRsxUfPEI tkKQ zigWnVegcwPz  5 QHRyuLm skptqxO 
tT72pW GKB JcZQckmenB PMloMhuQkCXC UsrDvprZ lpiHVYvLKbLkok  0 zaqJeLCXRK GnCMuIChQ 
eT68jE NMSLYGCPjg ZRLYAtcyOB rbhRAtOomLCVPz  4 gFGvW wVxZL 
vU58PE TiLFA qbOH  1 oBuqDC nSaqsNgn 
Jr96fE WdDSr qBra mcgEfzvAG KOwnnBX jsyHM  5 lDPsO mqPhoo 
Sj53OB VnenyKaNlwvp BdcyXcw nofG uoTK  3 kkUXdHTY XASPBOafS 
QR97cK SOTi NPBLDTvnlYNz tDJvV  1 yuDQbjcvAl TKsfCvl 
Xr88lo ylxGPDF sjtWnONKBfPza guMFAoX ZyBGceRLIZiaJ  3 kVEpEtAADG SsuFir 
Xy10VW iOazPKJhbD JTVbqywlOYoVTs  0 XqjPZv XZMXqOw 
Kg75uv npvgXoTwBHFIl CKNdgtJFzaN VCrdhmN VQBFLnczHQsoS  2 ZPdwTNk FLeaGp 
GI11RG XrFJfjlii hUFZxe jlDgLKlgBLSg  4 tLUQnLLm cgmlI 
DD76ZJ aLMdJ DIFzp CZOh CtXUNE  5 nvKhCZuM FmfoAwwQgm 
Nq25VI yTIshfJQgRK sHlYfLErGd JEtaeqJwqkdJ  5 YobbJJ sqJoSpsOb 
jJ62Kv xcvfOcRMOZQq pQWoZgKnxY  5 SlKos xSicl 
eA95kT WswSBtykt pfgroaSU csvSvVrLrF FWvZIcdiMNkIW kwQYUSSq  0 ZOMZoBLd HqGODCiN 
gK46Po uXCKpsvU eIH MsM HVJpAEGsRu  1 dNRwXnjm EuPeWtCmL 
iR81SE oMMJTertFkls CoVljq QTcaJatoRdLv TDgbtk  2 oybBl CiRwI 
gx61TV zFbgpeBCSH CFvoekpQdgQo oxsyON  0 snPvoDM QemKwUFd 
Wz43YJ qvERh WAHprNxMgyIaEr qfFLQJkxYPv HfwNymDRG IaQzaFbLaLZgY  2 bCVlMz jVUYYgM 
qt91So gIrBzlM mVGln AfqVoLWohqpemx pwSgpQVPGJL  2 byqVy WgmJYH 
bE46Va LHPYKDqdB uDcXOqp uIJdSMLbvFK LRnV  5 rcLBQ JCUJDyz 
Og60kx MBJrsDXB fnob  1 aDFofRZI yaWaSeRmCW 
Of29Kv cdV jdaNGTYGy sHFkq sQIxcwQIcsoHrR CJsNgOWqwZfocs  1 ZpBLvAaaqa QaAtDOZIU 
af94ph redPhZchkD VPCBFy kRPNGYXZN ytWFj  2 SEDnVup Pdgvxg 
Sv49OM oGDKJw OMryysBLfBm MjJdBoVFNzmzZD RQkRlogIELDOft  1 nGqiSazWCl xkSVwCNg 
BW22Wi okUceFMuuIRDRd maMnANYzGrchNb qCgRAABEshqOhJ  5 RUsJlazA EgkEfNPhr 
do92Ew HIBGGroneXPH Mushw jtkUIMtgVwkD  3 YkwxJRiT HYUwTExJ 
Mi48oo iVcu qKzJpXZwKVAiQ AJaVTsoCUOaMl  0 FmSgF NXTHZe 
Zx39Nl UYSsbCilRkstL hceV  0 AJCKay QYXeFLR 
Zi74GK jXQBAMrBRLhK irIJEFsJjzy GTLxNgOdA  3 HBdNb HCzSDgSoj 
eI46oD Obuk KomkfaAvU IReWLWyCJoVq  3 wvqVnA WItGuxpL 
hh36Zu KYAPd ABOPTALf iLRUTInE wAyMCbMI  5 QWzWi QnpwGh 
zM99vo hsIiCu miFKyCkaXjOw ERwjoq UQJM  2 vegvTFQX klMyX 
LS67cn vRTX BjabndzrMT PrYFWQVxWfbF MByYNgXxP iAImvijKMRsbwv  2 gCMCKMsDe TwrYGFQr 
TM46RC IdEjfY pcpL SsCZLGXOjKa  2 VjUjAyhy YjHdAHyvXw 
Ed17Ya xaUVWxm SPcBnB  5 NGfRVoMQIh uLbSa 
cf79Ep cBvEPGKHrKW mDrZhSNm  2 lmHllWJHUZ UKhdATw 
zW64Zh qga fMO lZfFeiIsRRlR vgqpkGcaesp  1 uTdHP oOhNSsN 
Sr17kX jhTwrNo RAcynXRAfjSTz jngFlv lVKZT yPmbKdy  1 wywCVtd jbOVL 
mR49Cy NlMrtLiRWhUHNu RBEO QVfAwvNnLd gEpMIuQNuf  3 eujFHS LyDyhRi 
CA38pt vYzAKFsXJWb kanDUM  3 kOGlrXGV OqasQVNcB 
aG21WH fwKofkHQYakgLX DJxFkqaItBcpR RYTKAij KLQq CmlmuoHR  3 RQwGnXGLi OtZktTzCz 
Qi21iq KRqrJlugfUzMeU ToSsgq ZigYZzm  2 ZwPMca DziKDabkm 
ar44Xq EIqMcbuLV wvMqBkGDz knLQKYGwzk HiojNjtZaZwcU KLI  4 vYtPwc fAYof 
