DIM_BD 25000
AU11SG BHF oSKqG  3 iyJdmOrX XGknaOtRWW 
cG80od XfpnbqfwsAncv LnQvtNtJ jgoDkRpW  2 GRCUEch RLMpkr 
cR79rZ wPsjaUjv YwtvoHkOa qYJ  0 xfadPqhK NKKZDjEZ 
Ms99Qy mrUYRrBYHmFY sIUZIXFnIKD OOklAqa SxheqrntgqUDNi  1 UoaKkuIu tUrze 
wz91vf oDgLKrKfbyLH xjkHV gFXSDcMm oSN  3 eLFyU vFGnEjY 
Lj58TP vmp vLtBy  0 mdFkDnnnF SXWUTJl 
wl98ue tPhVSlB GPQX uNmgWcSEyUo DOZUagQdrpJ  0 cRVGoe QgSWnE 
hg53bD vILIjlPTLtorG gSNvyVKmUCxV cTbpdLAicRJDtK  1 SiyoqsAoZc WslZApdfUz 
bY64eX PjMumU CXf bGaiZFnliaEb cyNadgqdjoiY GNcwEh  5 nPwPx AefrqHP 
rK19VM yaN rXICU yjRKL jIgmuczNyVQzv  5 OPWcmO OaSPHqsXl 
dC73MT COnCKafqMJVh MvjxVz bmJZTwVYP aielZpJkwsNV  3 IDnvG IggnXHIDfW 
rs76qH DwOQ EVRKZb vhgum JOjB YnXckPIndbW  2 uSDgkh tLKCeA 
ZI91YD ZxbxM LuxLI gsU cQBgVRJXU  1 efUcnwIFI FmAMaP 
gj15xG IqIsVWwABoSx HxY MuIXRTlHGqkl TPWG  5 uqqHGzPXpS xeKtzQA 
IE23cy NCiCGCIfUHe vouWWxQzKBpErP  4 QXYBhBG EEhQxHM 
dj38CV yiQooOQrpl slIIvaCTKAeAsq LFGpZ alaoolx  0 hprMSeq nEIOXoFDS 
kJ17SS yRvYApYDow kFJ SmSHTqdXTEGl vHrRexMHhumOe  1 ZZZSn TkTkQPB 
xr55Lj jeuiER nCgRiqPZilUPiI CgBHw  3 ThJuM FgVMdIu 
qV62uG stA KmzVqEWlN jwwavjSB SsLJSWIdyFnTOv  4 FCKbrJI GJLAdfGUoZ 
Qo69Ab JwkVsyPJnJKo QXo  5 wuaUOOpwPl wTRgDyQWRY 
gI54MD usbUiV rViJzo lEIfbJ  2 zcIrtzZYIG ONdHV 
Eh10JF pkNhSLG mCVpUWeAm qSzC eBatJiPG KJwscioOl  1 zSWOhgJm MMbCYp 
vK24qj JPxZAeh rxo WHlbI hgjQAsUZFFvc yudlm  3 gBMIYJsb jRxBXy 
CX36mS wHV GjQhaAVbHmqAhb  4 FRISg DcEASnW 
yz11zE uHsBcimJNFYac UTC  2 duWubnx ZFppzL 
AC31nw aUwBSFezbUd BsDdMO JQobyGc  1 cEOuFxq uEKazilfyJ 
dr36Mk LPuqmiwRNb qyJ WgDkTqSaAv  3 YqRaJqfcy CGZyzMuGhs 
QN50KP hbGttaQZRmPWc lRWhAdaps  3 QYsJlJEiv byyHVmSWG 
NL49uw wWOIvrIslFK aKaMUUPcbd hAxB  4 mjWWVechY SebAi 
dp79xy dPxDRHad BXNu  4 nEtkyA gdHAM 
ll30uR vJixjmrBIszrFA KYg UWuJdiTC cuwWZ UVjXwQsuha  2 sDEznNN eQqXbIZHOd 
aZ46Bu nwMxBFmEnX xEaNXDMJHREK frCPrT ZIPPtr edXyIgS  1 jkpCNlJq gClrHLdxTr 
rJ74iV NlqncFJuWmTME CgAMHH RWHsLiJMQHWRfI  0 QRnnmej uLwaXMmz 
ZW87iO gjprikfLEQk pgNwmc  0 PyJRxJ iQBUkdEc 
hQ27kO LRBrJ NMmlPLmIRiTtx XohyuKG tmJ  0 eBVDXQPsG DMYyAUpG 
wi45zq OdXhaTWB shRKZvYKdxMCw QFlVNFfucUeE pWWnChn KZnhTURpX  4 HvzGfr JndqNMDnUN 
wd21zr SPHulIZuekPKkn UuBZcgVsBGgUQ  1 kjSWRZdi PwTdKTXP 
gA43YY nypwWZlNdt aBoPLfGEs  0 QkMrqQthPJ BRxeEbH 
PS27LK IzWWQChk xBRmDfNliw  2 rgphfH aBYxkocxr 
fO84AE NJYnzMGHshy bfkHCrEePlbCod tArQBVD GhLEtpSMjx zyILmCELbmY  4 qjkHbKArOJ bbIlwbgVJ 
sl18Ko nJERcyYbq TmFLE cmOpOV Gxv  5 UDvxAJbhEg qrWmy 
Yc18Sz ofbti lmjcDhxDcxJxx sIVpKGzDEpw kclNj  2 lQjEWbyOO URYZyFwiQ 
PQ90rI GNTKNXcrNfdJEu ogasau  1 pvWiGJF CmDoTO 
lW55Xg JkNViITqYcHv ZfJpRSBOfMXqY FHvfNfibDtF EQv oANhFLFMPdGfvb  1 lhYoUtSbNd rIYyWBU 
Xu86hS RZZhoxwB qxHPnk pNpfJhoI pDYCEkLzzkkX jMQNGENWkeF  0 eCetRCUR pZHGdDZK 
dS82rQ Rzuwmw iibXxf  1 TtmrmoXye sCUBSJME 
FN17mj YnAt hcfmNVnPL  1 aFlCtaMeVq YvXPaHjx 
pP77uO FROTscFHtmHofC SVc Vkak PtE  5 VAwit QpILYkttb 
Gd57qx QuUsM EPbdAoUq YKHS  2 YYpFln qEDgVGs 
Du94zd oUSHuWZihdVGuN yqPGJKrc OGpXpcWrf abjp  1 pyUsZUfPIV DLyuD 
NU33CE Nac DlBlBByZvWSU oZjpfdH  0 kiwflyY vILCBGrd 
qs29JO lUid zbC qyfePyvzwWB UReCdPkTv PPLEs  2 wOJAMTt xXBpIb 
Wb66GN TCuzLFroOJcDTG yiTIQcCKYIbsGQ aJs HERDplxwteDKiR  4 aORGSYeMM CwPgQhVyp 
IM50Qf eLTt ZviEZhiVKZ  0 NbxfpRqy RohmiQvwVT 
we72uc Wpis fwAOSflIkco iaYzxuydpYK jeEzhUro xXuAMLN  2 grIVKjEEQn jUbrQUFp 
yW42aX gqoXx qPYKQoRrI xCOH frsChsscLoivB  5 PKIcveWRk fBHCr 
rE60tC cgDifRmuDRUiFi JwHbfa  0 LfyEUZKj uwLVY 
rV35VW JUWWeB bKNtaUlLGmK nsreMbjgF  4 Sjszrt CCjOlMSYw 
Sn48Sy XteKtaDfswQ mLbpQgcnu YVjdLu eLLNYvWMehg  4 ReZpKAakSF nQqhy 
By75FZ jRZtjqbmbeHwQJ VcGtxL foDNohWaMXPf  1 PDGLKg VZYMvbDDF 
Kg10Hj onPADBe NORvyRqNUALO LlyHJxpcxfLBw LJm  0 MTheEmCsrh arRuROjEG 
gf78Yj lfKWTwtDwojUw WRlqBYs uwDH jJvLYzGPhtIIOz  3 pNrINTPoL sdpCJPHK 
tu17jy DMfqwu EYDBkZXpRXMrw  4 pccFwbbPK PIFCrBJhPo 
gI66Th McfTQTSUdK JLJVQniGjx gOKryYwFjPCaX SQMcNrbkupnYza  0 LaQvRpdWY wauFwHXk 
vK82fb CESROVi wndzhn  4 MsCvcHNg suHuhS 
wj88mr PpjjKihHFeP HyAvtsqzMgaL mSoVoBiFBeHB rGZyzvLpqOpcMz  2 OhwVaETkX poeVVDy 
fP90XO eFAJMV NbgiDGmMBwKh kVrzSzFrGOrVnY  4 BXpmkpzcMu Kztxd 
ED45pM XHCsQ jGqf UZBEgzkU  0 aiLVuS xbVlPQk 
fr44Cs usGfpypu ioLLybgwnz  5 zFBMPEU eztWsk 
Le89kJ fZbYrf PsLjzlmAqJ TPzRV  3 yWqcsxoY jGrUg 
CJ90Do sFLqPhzb uTAo xTsqAT UdBdrQfF qYYeUFrlVpqN  1 mtqOkz wrQluKP 
Ht71Rz KWVtjcRpyMrvD rbsApQfhFBK  0 IURJYb CGjlGqyJv 
dU76Cy YsHcKzC fQYlwDt  0 GlCSyXZI YPZNWHPhPo 
NG88cW UNKVm LnCcIANMCkJY dmjgfr SnMFNYAvzN KqYlXkFUqOXI  3 odCECI iLlWEvUl 
Pp16gZ IVwQUdRbjk HnBSXvxz  1 buXpY tgpOKVyzo 
zK30BY kCCdaNoKXLKjE LroVutryoyO yTUwTHliyFbchz  5 zWICnfnR UCnozYwd 
kX14FU YggKvGxnRY EUXWLbbsLKFKfk Yrcp  2 gQepQZiL mPGYe 
Aa42Jd cKXO JtE sKVB  2 EsvQGu wWDJqol 
KU71vh XEmSwc RdYGPRwEmnt wrpHMYOIJJtHJl gMvRhpHCtOPI  1 MaEoIyamz vyPUCdkkI 
qE62pN esRgGIgrhHSGK WnmNkKH RmfcMgtjLRBRYO  5 iVIyyJsVu EGVEZORby 
Hn12xP FATurTCJkhMEz IRhbFsJ xijNexjSnZq fuqTK  3 MwoAHw ZjcpZRgTZ 
mG73cs MPcnAPLy KNjFEPsVozuha xoYJWKvwyTTG vqFr  5 JkbPP KqFxyRq 
rS67Cs HnxbLVTCMnmy rPsLwY efNVLrg djmxhPcMhcj qhXNkOVi  0 xElkUc iKuZkELy 
LI66mE ViOqdw RCw YzcouFiRFLcD  4 nqAIS TfzWSBbhv 
vY23JM atHiIWVL GxBpXUUBuT TXTk  2 zGmqj MEkANO 
Br30cs ZPGEvTHbQ yIus lzfSj  1 QHMTQ PFTomGB 
BP82Pr sMJbzpgOG UaihKNGxNvo noLIWeSi  1 LBqsl RibWhqJ 
tT77Ca hKGx VXckFfvGGYbU nfoqXBW  5 mRdHqFDdCm ryBiNW 
zD29FZ BDOwMRZilKM gLU yIMFL  3 rAMSq DmWTUVg 
KF51yH yDrEBPDJmfMFZ AxI QlmTknZxEdM BENbCQ xWgrNFJnK  0 jDVIF kFfLtr 
ML37YU WSGEmyDMYvVWHc wdTsLYXW  5 GkVmBQfzE BidEer 
Rl41yM pCXspTjqUyprYn AoWlr wkwV decEbpcJ mjjY  1 LtIwVAC GqfYm 
HG74fd xnnusmhPFaxerL nlDam lsIJVJASPR  4 KXeVNUtqk GcQeaYyPbK 
sY79xs SClUgO wANDAE  5 GvVqGWCYmu QQaxoOM 
Bz61RK fHOH yMHod TWVPrxwQg  2 HYvVN sTauZdrsi 
Ta56jB BCpzrHxX qCGGSJe  1 HuRaWZ hvFTYdrX 
nV46vd CCZeimQ lsmwKzJro  2 fmlEWEorI DuEgJ 
qC45MF oBbS kVUqKsfK  4 KZDLb zQFWPVJedH 
ni63tK upbYBqGTQb aPQjZ mqFzLiEHxfppjy oGcSQuLIjRrP  1 raFfWEDv GNMigN 
EH19vd XntZxcvhUQfgU suTCCDkVmQkb qTRU vrJqyzkq npWrxbPvvzFifO  0 pRwMe fYwAxLfCWF 
vk18fH wbBEOkYub frOU UzSiLSNS kvYRmAnKxmYG  4 NhArhL GOqpwO 
fV39aE BelGCRoKSL eDGBGFrogNfdUW GyXnOlN LrWvGe  0 sgucpNXwbM phNqWp 
zl59tI Jdfdbj WUguORmMBrZT PNksztgE FZiMvSdTK mUHjzSyGSmZVC  0 KBxKHhH ccZubYOh 
lk41EU Mljmkb eCyV oCiZAPGbOe mJLiShYB  2 FOgJXX BpAmjeHy 
Nw18kN bQtGWjh iYIO wvAOTTXTF zNRsp ibaJbR  1 YRoFHuEzK FRovQm 
Vp40ki kKbImMYOdLPj BZohaNLA hlMrk eiKP  1 EAbamcC VRazW 
ss52xU UROKD FnJjoyT HHjybk jfMwDeTSLFNGq  0 QNDWo odHVlUgpgm 
uu23TD fmRWWqmT lPorfXzrRd fAGKPjAHXgsuh qKv DxGpFuDXk  1 HPHKjjcd zNEankUtF 
zp39ls yZCldSkt iZm  4 rdOOmC mDeHW 
WC32PO HOnQxobpSZVD zUQ  1 EvPvX XNuRO 
Bz36Fu PlABnBdV gpVsRMaUvJCSe tfxeWwKGrbAy  4 IglWDynP wvvYd 
RB89oq dunWxCG QaLk RoduOHevfMMXq  2 YCYzi qMyXwVKFC 
FX33JN mHBLQhBqsx eSvWsKGPDCtH igTbkf XcwVVtqIRHxv MOgPcue  5 EnQsvvdnBW gbShZbFPy 
Bs49Pm toTy hNQ JWoXUubO  2 MMlZm tBCgWtsO 
pY63vI KIVSNnHbUhdSwv Kla qdZoknOPQiALR NtYsB  4 JpYkqWEy oMqGPwS 
Rn93du zXjibYkPfM NKK  3 RABwT ibKcEeHon 
cK77wR nsraUvHffFUEvd nyNa  2 YiyRjI GooawQuLp 
et77Vb JLug Pzi HEh  0 gFXlZGzaBC LZBEolbJ 
Kt98CO ZaTmbuemyI iGmkEYRnw  5 IEvYjJV Zpuzcg 
pN59md BQswQckK CvMmzZuxph  0 OwJtqVF qBtmQmox 
ON10Kz QlphgC LDEZsVTobthOtW yxUElltweFxI xGez fkBCZFx  2 hwHJz mRiVKJHZAH 
Nf87jl SrhLj RdqSanGEAyQ GQob  3 KyqNMOuq mSxdXaHo 
tt54Id mKXjhT rMU QwjMehLbywhE  0 zHurFX tHAluiTZx 
NV55Rj mCIswKftD FMRMJq kmljjPVOuwPpkK uZqCpgsOLkbmAA geNvnuGX  4 NRAvzND ZiHwRMFTsl 
RN25sK WcBThxBirB JYnvjmFRvO OHwGTfDRG  2 nizoyK dRUXhdNu 
um90yq EYFIPsty AFZApR IvHgbex AGOv SKeF  0 xgBKBrm NizAb 
tQ35SU HUmwmlckm DcLywRJyDrdr QRATtFecKbHN oQUB GXtAHh  3 RKoCpZE GwiAxnJik 
vC36MA DzrDdIPjXF uvCxvwCt tQpDLVWbPX tvFudqJxbDPOU VpsKXgOYvuxo  0 jAjgiLdebZ yjOvEJmbw 
RR49rQ oek iuXW  5 srvWtX LYUAsOxV 
JZ43Mx ZXZtK oNo zoa DjYEqrU  1 QyWHyCth ZZewrgV 
Hq89mx EGEeLORIWaS NEAvU Tnkuks inrXIjPlwj  5 myXYEAQvyg aIhmg 
je19ym RyBh GRPD  4 vSWMdghus cmyvkBHfqH 
jP67GG XPjONFAElgSkci PDvHmFZU uUltd JjlvczUTXCO  4 cKDHZpLe oeDYnvaR 
LN72aA DeByefock iHiQzOMy meoVMBirweuz XtDxZfsUxdvfPE pjx  0 TSOrHbW zbdNnGgh 
wz75AU Wro dDvxgcwVzQSD Ofai buADtvxWrS  0 BCEeYsX qhMbhKlR 
dz79aF hXuG mTITe hlImqa  5 CMqrwHtNSV SYAiMx 
yh40eh PXw NcOGYYiAsb yEHroyHPAeVMa FpO  5 KwrCM mJlpWp 
Cq80bw pUcxwlaTvorEE EXOiVMtebaI guXkzGs NMuLLy eRwmHwBHSaZ  2 PQTVawF YkMYsIfseV 
Fb12WS eoe VAWrrQKLW kUiFrkngJGoq ASyFFaravf  5 uKauBvXHSd NnoeTPTO 
BF66bR IgIvxOwUiHJfi GaucGb fYbpsSXlbaBSz aIZUbgV  2 ziPphLlI fwVakpnM 
eR41ST NXAjrXx ibnDKOIKO  5 cssFQme Vdtoy 
IN46Sg oYeRZu mYZYM GpgFGavTMRe MqpifYeORqvz EYNxhJ  1 KvIqWojZ IOBWkJjPi 
Qk71rn iuAfWEfpzPgfea oqmVnlpdgVrBhh pQj  1 lrbPTKZ IARgTAP 
sq48hm OwayEEFOj Vykv upWpzPnBe  3 TXlSTqP ZDmkCRIpxs 
RH40pM qgsWz vWO VvwMHKbESSIw XarSaySqZYpyXc xnT  2 eMOJgVKxc TuabEShq 
bV12Wu AddiQIVeOd sglDWY dHRmXix ojoSvaMcw  0 iXyEymqmD MclSgGR 
Ne38Tp GLa uCdMrAZ EMopa MTJeCuVa  2 uufZtbcxM ZjcDv 
nl25jx vsSYrkIwSfF RhclQ tmqhSKajIkHEW ZgPoBxTLO  0 aPXeA FzRYcLL 
yj16Sc KQAmHVVgXkCo VfhyRd juxB EfmHZGOrv McK  5 HmoawHbAVK EaKtR 
sR16yE kGpKnPV zXXN VWfyTOSAmmmxdU  5 uWxmL sNawQMgU 
Px51vT GYoorFmAFsAjjC ZVTOMUy bIxjwhJL BwP  5 kRGTLpGGli FMyvVOzCOR 
tA32vJ owBHmovgV oIn mrrsNqCn xzYgIOdHwtBE ffSDU  2 CgLVB WoHpK 
nF50ap wvmVwELt gySZhvtPlSvUxd OtzBXu vDjRHuFRGyhn jfnFicoN  5 HAnpdLMdfs pEpMcwqd 
zZ54JT AvNIAsTIR ijA  1 HqsDnQcIJ aNFmug 
bm40wk ePMBjNxDv OAiSoCMW xCoMMovOdaH KFNstmQzSxE ywUJP  1 mrtywXSG RNnOsZhK 
zU59xe tYbVFq nRNfRBWvvPwYp wiVZDTFmqSyi DAapRvmoydC  4 gUXsoqf WimKOltu 
PP62Fe mwplPzUTHBKZMy vPItxl LIIjnCAcji hJafJxCPnJRRu GttkMsqBmspZ  2 LMWhbBo tlhtC 
VJ52rO SUWDWqI sjlnNhqFUsGSSX  3 nGgBXPrRUc PHxzL 
PT56Bl pZmAI fQkt KPcMMihc  4 diKENMxSM KQtTWIPsGp 
qq45mE TsxfifMuJVOc tXMl  0 LqcKlDfSBn wsErqKWm 
ce40nf DpIBBF drardAgdEags vBzPZjNKiL KKRedhMO EdlFmlGetizdgZ  2 HEEeUjJnTV YhFRPLlI 
ZX47ic IGQodzDyCC DXXWFHBjHkLJ iJCTupvnZc FavWtHdjZ  0 AEkTbR VRyOlGXpyV 
BG66IL Iol JCxwDEGDvK CTvFCIiJOL iYxkBBnJjqV  0 OFgxqiV fPdKUXN 
gf82GQ vYRgJOksTyFi bpyYHpbihef kyjdI KrN  3 sjFgO FWtwj 
ci49xK YmDMXyEVk RlS BuAJpTaCRzJvBn blqSLXZIBwUN eTTeZ  2 MnXesHysp HDLFKR 
Wp63mY fBYN KcquSk mbzgN XOQYEYFc  1 TtfTWujIcA pJUsy 
Rg99hd aYdLmVkUCUUfsi xAbWDlv FJsf UYjl  2 zOrJuO xQmBaevln 
lK17su JBzBkWhzHXfAf thSLAibufPR  5 qqxVrjpyuD ESwhxsSY 
Oy55Rl XeYAi rytv nKhrwwHxbYDg  0 thXcGP Xjxrr 
tj12fF egjIl EWjUXBOcMYnyjL fQrtzR pBRnzfPvzbXi uwwVr  5 XbQOMjFJix BPPUV 
IW20Td GXEwzgl wJCPJYJEBDs  0 fqSjW fCBHKst 
gg44DT rLyFNAUGIvTXcS qYxzdPdaBZ szgeQSyID  0 RqlvnsZo dUcxQinAnD 
et77Oi HASiI fqAEQQJFbkB lnyebpyUoEPXr KyXnEReb  2 FfRLbtjvh OVnItKKbrG 
Ov52Oz DjGPXUIBsrk qBGPYYMLkHM TZGXUrZoYpsad NvW IdxxkfdXeBPOno  3 fNnekX BtUjyR 
mL14sz lSUFGAkpV QbcpdWWg ZpwfqYiXrY  0 mOQKIju wZVpAoVw 
Rv91Fd wnJnFzaM jDWDMNJJhppJ  5 STxnwVnQML TyyWu 
QC72tK WmIuRRzHXHZRk UmqEffjueU AZDsJMIstg netgbAa  2 SzAkqo ClUrJV 
Fe87Ll mhZFdhtVVPOGld XuwBgUt FioGqvDfWEixl jok SXXKPxUa  5 GoXsryRQhx LlUTACNSLl 
sZ92Xn FXaZvTEefcQabM ZDSBt EGEROvxiGEm LChiLgMvuWmarN YPIFtSj  1 GtAMDnvQ kuHabT 
rK54YI zWZBITJSoxh zMdXbGUdOuW DyGHVm Larx  3 XoXxtCVy zaLnavYoq 
kM71Bg nrQhdDZMxXKB JilM  5 ABuxsRGC xWCeOd 
Gh76vl ZsvAHIhQUG mnZQlglv nRRFxLcbhn ZAWWjFOlyQnO VIwbTSYoTO  4 KVqvBHOC ttxhhMb 
ly26Ye xVCGdWc QbCHahefJCZdF  5 hNxkPO GDJMicrZk 
iR30Js yAsxTeElmp PCMgBWQ dLnOPSqFj  2 qEFjGe zNxYB 
Ta70Gk sEDE MDMLqA PpSyFBzhhaCL FYmBv  3 aBRWASjt QvhtcLuA 
We82UK SqyIQffKYLRQhi RPBONEj kNtuQmlDgNhc DwjJTng GECIovUYqMViic  3 dKigc ccmDquecQ 
em70sP OVwzEuvFS jAlBejZ nxoAuFibYdC YvjuWPe ymvHMAfgsxFHIE  4 iWhUQTPYpw TrdQfYA 
IU36Km gLnNOsFLlp lCdKoBNZftj EXlZnudDQZ  2 qndPTJ gUtjf 
VD16fU rrUMw imqAQNToILk knS ZxoflwO nkYGFJSJGxy  1 bjfqeq brMPq 
VG25WA rbOFEPwWxA xwnhlc rKSHkAZV EjWPBJsB jpSX  4 HSoMX isBjSgqU 
YO87dh GFqzarvNuqR dKE VDAl DkUyv  5 QyFGhUJCMy BnXqymNa 
BE94iZ cTSHf MbZTpBFWn WwvyutIcSw WhKL  0 hezYJ fxXMnpkrPN 
qI92pi pKmBjrANi fkWXqhlC xECuppqy mpGdEfI nIngVFXUtg  5 KlYSJhqp LNJDhpSzz 
PC99ol bANZNXvrviYT HBGoNUIcrIYQ fGoFWc VqACmv qIeWyUMcT  3 BXlAqp KNRdz 
cS47ZE QEVjAdDyctnz tfDDpvQQZX  2 XddytjSLH zIXMeNATuV 
CE74FK gaSnoFnwyALQx yiSZamYNZXT  2 IlDflpj bchEv 
bc26EO fUpEf UbNNEVNMKuia  3 qfFrzL iGxcZICD 
HU90SH YByRpBZILA iwNLD enjDlnhh  4 gKaFjeNo nyJbFJ 
iY69Mw Cxc owaz gJfSyzkpOFBhAI duw  3 pkcNo QeyWN 
mG11tv mQaMow foAvmJVXbf  1 YbhjyAjQz EXJknT 
vW24Rb LqwC ihls Mel wYugsjgocRy  4 VFPoG JGSAMyYhs 
GD19ev VPWzvE nFCaebDeqQF hJFlAD ILanoPoAdDMmSE PcjcZMQagY  5 PSJtbE iuFiNPjxMX 
OH14Lh kXIaysunt YXKmvrF ZsCBpdeHyVO IbfMGRfLvu  0 qqatf ykobGPTqR 
zj17Ao EveYC CvGk ouxMj ZWTnGbuqtuMvB dSOLEX  1 ttqqGT SJuVteDty 
Ko11Bv IuKmRk NEBPMBgZBgJn SIc nCXdyzhEKqN QdDPZBGgwJBesk  1 bcagdhCc mgttXB 
Yq53li ehkvY vkKKCXrKRY NtQkxYZiWeTQut wgSgTeCWgAawd AEuK  4 cFXUBWO dCrmuHRrT 
QX12ZN jMvdZmoh JHuTxfAVHPLFPH  1 TfcewfQAU PdpBoRU 
uq32xf szdFbY cAncmiZpxMIPjb RlkiMJsvEK ouLBAVAgKWkXJO  1 lvgOTCIe DFDIZHygB 
RG20Sj VTZ wdsLPAjHZJayC STtkwCnJUE ECkJLZoA  3 CuToOA zynJezB 
ao44Iz BiFDOzOX Nlz bcA  4 elSWCYn oqlsk 
Vj99aC bkSyuLK jjhCaHg  5 dvqms Gpqbh 
Xw74jX Fcd UJSfVkQsr XPuZVGnEOrIDA zYYQNLoLHkIZiO  3 VYdNsH KEYEiuXkPS 
bt90Cp PQpbMdemY NFylSMoimIOB PGSerzDvkLW dhdnuPEl vxRa  0 XOVusLut udGAXNo 
Jf68sG HtHiySEpOfkNk GxrGkWBdm  3 eYxoIGlsHB LBuIpCNv 
jo21Da LISZdCrvAR rSPuSLzbrmz KUzUgjEetPPpOc  5 KfvNWqYCX bykzrbcsmM 
eN16CS pUXeDJFU axQdqN  4 SyyLmMGgJ lPKyKd 
AQ67WW XGQNgiIXnPz EyUBw TjXzUlnRslnSZl mVNjVeQZ  5 FFDGK FFWZzlqF 
tD60CX OxoBrEPPZnPjk wWBjCJfdz IeUoUxOXYbkKU nYvHAEwgOlv ZTOJGHlhtmyym  3 MVAFnr nvTnwOdO 
BB47Jt oYgU tTyqumeuCWKoo  4 zPvxJG bwTRSwicpt 
AV98Ba QsVJLjj YNlnrDtZPwC xcDf BSGhdeVoaSvjkQ  5 HEugOTttM mNtwgCPD 
iB78Jm vrjXXw ofFBmgitpBAehA HbpEKZH hmMD ZxwqVnuilJhbbp  4 qeiPwiplmG eBLRCwSq 
oX35dL cBBMOObejVEzXa exzoSTCW HyNhCbfwRKel  0 HKCdOFXz gvCYLNiLJ 
YW12Ta QxuGUNnBO ONgkalAYMWui qlTpvIyQlNXirv  3 rsQYBnmXWe oQQCbk 
Uy75eu bhcWfRXmELdRx vtbCqWVtvU YYclhfvCn  2 vSMgvlASMh VsaartyV 
PC72dU yEE gLBpjcTZMr jFJtrrzXWAHP  2 zwdCOQbx cODKq 
Jd58PO jQpFnyeVS wBPFEXGUVJrQ vroufJRJoXe  5 EJhJnc BGDZniIDoh 
bp29fY oFNMylFEKz kjhRhZn  3 lOrJahXaap wdaXNOW 
rW54ZY ZvT vOozxjZBFewFH XNxqRWc  3 paAqx JYOxRaZfSn 
me55OS QgadnggSOUE zNak sHRfE QEvzYhqPJ  3 hjTnYsIE fenVOk 
vr99JW hvveioEvJSYM npbo LzWqpmWLyN nYEqOFEsugQstA  5 cxTDSCNfR EfZiAEo 
KZ58WC xQEfpZ eiGa ReyUVxqWBrI YRxm  3 jAxmPOqQLP suqRo 
Hq20VF nZxDCc ZRNErBLuH QzCcK zcawluHu  4 DLOWoVhIXC eTPveWVMoN 
fG18SG adKK dixBDfNgRUsax MjwK  2 eKyxCrAZyv LvnOwnHrs 
TG69ut LuWIHcUPkhtwGY VcwartadqMRJmE DoesftmFVdO OfTvJbqB tQzNzrL  5 PJcah SPrpKCL 
Fm74Tl buXw iJnRbkVkxN OavCRkXz hhhLrVMcW  1 xcSwBPCPvg vogfkzMau 
ZA61Zz EPcgsWsV PaTmWTNqrWJ  5 GIFcuRuh lduKw 
SG67YS LjiPrCO rvFwv dmTHjDBAZjaCVd  1 PGLlvrexKa FcfUwMEUS 
Ay74eq UuVScwATEY dkcmarQqjI SLBOihN  1 MIceyAS SKsxjyE 
dX42OR BjGvTTEWJv OdDfpugoOkmgEA HPmcWHzy SuQKIdWxcVUy PfmpxXt  5 uqBRgQNIQA bTkRGbyJBp 
nD88CM vOtt NNg zQDREMqFNIAjzK YivsWt  1 bIwCROn nKeRw 
fi66VA LbBtrAzuopVr RudEzByR krPH  1 scEtx NMJraLXtiq 
wL12Do krNMIWmd XDv GdX pHeQXl  5 IoLVTrtIuM UbSwA 
Md76YO aoYKnkCixbEd NpxWH  5 hJquGMC LybWa 
jF54IC ssWsjoRXKl iLqfW  4 yyHlxct yTQkuzIqC 
fs90VF NXMEfbvZjydgs sFkmtE  2 pUrTXQAjk ThVrxyhD 
Yc50zi HnnRVu xQOZ RMwuFMsjesK VcLUa  2 hanPHmQT MwNHvUkkq 
Az84RJ OCaDBBDVbri jrbymCTR JYBgBZDnY vxhqSDR dcUnkCLBv  5 DcXlCMFwLk imvlBC 
Wo35Yp zthFTYXp hpWW JUprk peEAOyBPTzKJ pquTJFoLTpAogf  2 jdIXt hByBXlrTCZ 
Zf77MZ CEkDBupuFnx JmRzhjbRqfiy HnqeCEryudEfjz  3 EMNmprig AdxpP 
RZ96LD mvxqElWZTYIiXF uSi gZNnkGQBBw  3 ylGPDB RFSMdeyE 
bP44mu BKQkRcUYJFtsM vdeBOXpykZUu gjuhuMAcK JnviJSwoJVYxke JREHDnJYjKAe  2 sgwdnAJPSZ stWUWOQvN 
ed26iW BDMkgyv Ocmkp jIWXRBc gBWHz EgOCHGNtxwIYh  1 FsxxXyftH UXVluzp 
fV92ZI WDkPwzQymmgm yjBIpFn qmhqGPqHPC WnvnmNr  4 IAvglt eGPuIONcNf 
SY35nv ZMDOmFgu mtqnWGlwxefiSo RmItMuYj UBUDzOFli  2 rZZEy ovEauK 
Ps85mE ORfVDjgU Xiyj  1 Anraz IdFmSS 
gb16gQ faeUMPmbAGmqH NbJLKEakhZ PrQRgdqWeKviE  3 uwBKPrBuI TeOizw 
Xu42de GoLHmIZVw lUgRANPl AQTOarnucPz HedD GfLZ  4 VFyBZhRijD JrmQip 
bj50vb aGbVDzcXNcl jXYPuVxyAHlllg HMXUAlBVAS RGntSPRGnp nfPNhuyrKXlz  3 lpSZPmqzTm Ljsdmz 
DQ85rw XlTatYixXwHR FLH DXlX vBPwiRFXfP  4 erDsFydQYP vuEHDvoH 
uL24aX rWKsxGSJ ZIBkfutkAxNr vzGtxmTyB KiQndUbyDL KQfRrWeUTeQy  4 MIuvLS AnoaG 
Jc40Um YHmgclnGuEDHJr ORAOykIkp lxGv  3 koxMdL GEykDliKqt 
